id,name,code,deleted
1,ABB,abb,0
2,ACEC,acec,0
3,ADOR CORONA,ador_corona,0
4,AEG,aeg,0
5,AEI,aei,0
6,AEI INGENIEROS,aei_ingenieros,0
7,ALLIS CHALMER,allis_chalmer,0
8,ALSTHOM,alsthom,0
9,ALSTOM,alstom,0
10,ALTECSA,altecsa,0
11,ANSALDO,ansaldo,0
12,Artrans,artrans,0
13,ASA TRATOBAU,asa_tratobau,0
14,ASGEN,asgen,0
15,AVJ,avj,0
16,BBC,bbc,0
17,BBICT,bbict,0
18,BEST,best,0
19,BREDA,breda,0
20,BRUCE P.,bruce_p,0
21,BRUSH ELECTRICAL,brush_electrical,0
22,Brush Transformer,brush_transformer,0
23,CANEPA TABINI,canepa_tabini,0
24,CARTE,carte,0
25,CEA,cea,0
26,CEI Ingenieros,cei_ingenieros,0
27,CEM,cem,0
28,CEMEC,cemec,0
29,CGE,cge,0
30,CHINT,chint,0
31,COMTRAFO,comtrafo,0
32,CONTINENTAL,continental,0
33,CONTRAFO,contrafo,0
34,COOPER,cooper,0
35,Cooper Power System,cooper_power_system,1
36,Cooper Power Systems,cooper_power_systems,0
37,Crompton Greaves,crompton_greaves,0
38,CUTLER HAMMER,cutler_hammer,0
39,Delcrosa,delcrosa,0
40,DELCROSA-TAMINI,delcrosa_tamini,0
41,DIMATIC,dimatic,0
42,E.HE DI LEGNANO,e_he_di_legnano,0
43,EB NITRAN,eb_nitran,0
44,EBG,ebg,0
45,EECOL,eecol,0
46,EFACEC,efacec,0
47,EISLER ENGINEERING,eisler_engineering,0
48,ELCO,elco,0
49,ELECSUR,elecsur,0
50,ELECTRIC POWER,electric_power,0
51,ELECTRICA,electrica,0
52,ELECTRICA OPTIMIZACION,electrica_optimizacion,0
53,Electrotecnia,electrotecnia,0
54,ELECTROVOLT PERU,electrovolt_peru,0
55,ELECVOLT,elecvolt,0
56,ELKO,elko,0
57,ELKO PERUANA,elko_peruana,0
58,ENERGOTECNIA,energotecnia,0
59,EO,eo,0
60,EPLI,epli,0
61,Ercole Marelli,ercole_marelli,0
62,F.C.T,f_c_t,0
63,FABEM,fabem,0
64,FABEN,faben,0
65,FARADAY,faraday,0
66,FARELSA,farelsa,0
67,FASEEL,faseel,0
68,FASETRON,fasetron,0
69,FCT,fct,0
70,Federal Pacific,federal_pacific,0
71,FERRANTI,ferranti,0
72,FIME,fime,0
73,FOHAMA,fohama,0
74,FORTUNE,fortune,0
75,FORTUNE ELECTRIC,fortune_electric,0
76,France Transfo,france_transfo,0
77,Frances,frances,0
78,FRESA,fresa,0
79,FRIEM,friem,0
80,FUJI,fuji,0
81,FUJI ELECTRIC,fuji_electric,0
82,GE,ge,0
