id,name,cod,country_iso,address,deleted
1,Abengoa Peru SA,23,PE,San Isidro,1
2,AGRICOLA SANTA REGINA S.A.C.,32,PE,SAN ISIDRO,1
3,Agroexportaciones Manuelita SAC,342,PE,Lima,1
4,Agrolmos SA,324,PE,Casa Grande,1
5,Aguas de Bayovar SAC,324,PE,San Isidro,1
6,Aguaytia Energy Del Peru S R L,34,PE,Lima,1
7,Ajinomoto Del Peru SA,3423,PE,Lima,1
8,Alcoa Corp,3432,PE,New York,1
9,Alicorp S.A.A,32,PE,Carmen de la Legua Reynoso,1
10,Andean Power S.A.C.,324,PE,Santiago de Surco,1
11,Aruntani S.A.C.,324,PE,San Isidro,1
12,Atria Energia (GCZ Ingenieros),324,PE,Villa El Salvador,1
13,AW Faber Castell Peruana SA,543,PE,Lima,1
14,Banco De Credito Del Peru,6,PE,Lima,1
15,Bopp Del Ecuador,534,PE,Quito,1
16,Cal & Cemento Sur S.A.,45,PE,Juliaca,1
17,Carlos Koch Prattes SA,3453,PE,La Victoria,1
18,Catalina Huanca Sociedad Minera Sac,324,PE,San Isidro,1
19,Cemento Yura S.A,234,PE,Cercado De Lima,1
20,Cementos Pacasmayo SAA,324,PE,Lima,1
21,Cementos Selva SA,24,PE,Rioja,1
22,Ceramica Lima SA,234,PE,Santiago de Surco,1
23,Ceramica San Lorenzo S.a.c.,32423,PE,Lurin,1
24,Ceramicos Peruanos SA,4234,PE,Lima,1
25,Cia Minera Ares S.A.,4234,PE,Lima,1
26,CIA Minera San Ignacio De Morococha,234,PE,Moquegua,1
27,Cobra Peru SA,432,PE,Callao,1
28,Compania De Minas Buenaventura S.A.A.,234,PE,San Isidro,1
29,Compania Electro Andina SAC,324,PE,Los Olivos,1
30,Compania Minera Antamina,324,PE,Huari,1
31,Compania Minera Antamina S.A.,20330262428,PE,Av. el Derby Nro. 055 Dpto. 801 (Torre 1) Lima,0
32,Compania Minera Antapaccay S.A.,342,PE,Espinar,1
33,Compania Minera Casapalca SA,432,PE,Magdalena del Mar,1
34,Compania Minera Condestable S.A,32432,PE,Santiago de Surco,1
35,Compania Minera Kolpa,23423,PE,Miraflores,1
36,Compania Minera Miski Mayo S.r.l.,4332,PE,Piura,1
37,Compania Minera Poderosa S.A.,324,PE,Lima,1
38,Compania Minera Raura SA,234,PE,Lima,1
39,Compania Quimica SA,324,PE,Callao,1
40,Comunidad Industrial Mepsa,324,PE,Lima,1
41,Consorcio Constructor Alto Cayma,342,PE,Lima,1
42,Consorcio Electrico De Villacuri SAC,3243,PE,Ica,1
43,Consorcio Energetico De Huancavelica SA,342,PE,San Isidro,1
44,Consorcio Minero Horizonte SA,324,PE,San Borja,1
45,Consorcio San Alejandro Neshuya,324,PE,Ucayali,1
46,Consorcio Transmantaro S.A.,432,PE,Lima,1
47,Construtora Oas Ltda. Sucursal Del Peru,324,PE,Lima,1
48,Contour Global Peru SAC,234,PE,Talara,1
49,Corporacion Aceros Arequipa S.A. - Cerro Colorado,324,PE,Cerro Colorado,1
50,Corporacion Aceros Arequipa S.A. -Pisco,6545,PE,Pisco,1
51,Corporacion Pesquera Inca SA,564,PE,La Victoria,1
52,Doe Run Peru S.r.l.,645,PE,Lima,1
53,EDEESTE,567,PE,Lima,1
54,Electro Antapata S.A.C.,56756756,PE,SAN ISIDRO,1
55,Electro Dunas S.A.A.,75675,PE,La Angostura,1
56,Electro Oriente SA,8768678,PE,Loreto,1
57,Electro Sur Este S.A.A,76867,PE,Santiago Cusco,1
58,Electrocentro S.A,6876,PE,Cercado Junin,1
59,Electronoroeste SA,7568,PE,Piura,1
60,Electronorte S.A.,56,PE,Chiclayo,1
61,Electrosur S.A.,456,PE,Tacna,1
62,Empresa Administradora Chungar SAC,6456,PE,Lima,1
63,Empresa Concesionaria De Electricidad De Ucayali SA,45645,PE,Pucallpa,1
64,Empresa De Generacion Electrica De Arequipa SA,4564,PE,Arequipa,1
65,Empresa De Generacion Eléctrica De Chilca,546,PE,Chilca,1
66,Empresa de Generacion Electrica del Sur SA,76867,PE,Tacna,1
67,Empresa de Generacion Electrica Machupicchu SA,635,PE,Cusco,1
68,Empresa de Generacion Electrica San Gaban SA,56756,PE,Carabaya,1
